dim,scenario,seed,margin,reactiveOK,fallback,kind,iters,escapes,sideFlips,cycles,time,length
3d,悬挑,20261902,0.50,0,0,reactiveOnly,2500,1,2,2,0.1380,NaN
3d,悬挑,20261903,0.50,0,0,reactiveOnly,2500,1,2,2,0.1493,NaN
3d,悬挑,20261904,0.50,0,0,reactiveOnly,2500,1,2,2,0.1949,NaN
3d,悬挑,20261905,0.50,0,0,reactiveOnly,2500,1,2,2,0.1649,NaN
3d,悬挑,20261906,0.50,0,0,reactiveOnly,2500,1,2,2,0.1395,NaN
3d,悬挑,20261907,0.50,0,0,reactiveOnly,2500,1,2,2,0.1561,NaN
3d,悬挑,20261908,0.50,0,0,reactiveOnly,2500,1,2,2,0.1321,NaN
3d,悬挑,20261909,0.50,0,0,reactiveOnly,2500,1,2,2,0.1629,NaN
3d,悬挑,20261910,0.50,0,0,reactiveOnly,2500,1,2,2,0.1985,NaN
replay,,,,,,,,,,,,,
